uid_hash,course_hash,avg_assignment_score,missing_assignments,completed_exams,submitted_assignments,exam_incidents,assignment_submit_rate,max_assignment_score,avg_exam_incidents,total_exams,exam_score_var,all_exams,exam_questions,five%_or_less_incomplete_exams,total_assignments,graded_assignments,ungraded_assignments,perfect_exams,min_assignment_score,min_exam_time,exam_correct_answers,assignment_score_var,max_exam_score,incomplete_exams,exam_submit_rate,min_exam_score,late_assignments,avg_assignment_delay,outlier_exams_course,exam_accuracy,assignment_procrast_rate,avg_exam_score
syn_stu_000000,syn_crs_00000,0.5038016106308568,0.29411764705882354,0.8,0.4444444444444444,0.0,0.7368421052631579,0.4576668837895522,0.0,1.0,0.276468495503596,0,0.45238095238095233,0,0.5185185185185186,0.3214285714285714,0.47368421052631576,0.0,0.4526458663718336,3.468786816552735,0.22641509433962265,0.01466415577708126,0.5619488976185308,0.25,0.8,0.3108873599446859,0.14285714285714285,-3.3845013627308855,0.0,0.3953488372093023,0.14285714285714285,0.4148755150472774
syn_stu_000001,syn_crs_00000,0.41176843886725556,0.23529411764705882,1.0,0.4814814814814815,0.0,0.7894736842105263,0.49750588891589836,0.0,1.0,0.015936205133182644,1,0.5476190476190477,0,0.5185185185185186,0.4642857142857143,0.2631578947368421,0.0,0.3047693194871373,-1.0934241399690023,0.4528301886792453,0.38503207108691634,0.7195499919686389,0.0,1.0,0.3365674950019772,0.3571428571428571,4.553788159458927,0.0,0.6170212765957447,0.3333333333333333,0.4639912337834138
syn_stu_000002,syn_crs_00000,0.5249061923016194,0.3529411764705882,0.4,0.2962962962962963,0.0,0.625,0.7999649104669866,0.0,0.6000000000000001,0.23423264673825273,0,0.38095238095238093,1,0.4074074074074074,0.14285714285714285,0.5789473684210527,0.0,0.14943747997531354,-1.9405075563394998,0.33962264150943394,0.04850404691658196,0.8961945890303806,0.25,0.6666666666666666,0.5571590486217189,0.42857142857142855,-1.1887969188420329,0.0,0.575,0.6,0.7026537643716115
syn_stu_000003,syn_crs_00000,0.34279283249080633,0.0,0.8,0.3333333333333333,0.0,1.0,0.7402984346985494,0.0,0.8,0.1900694715549443,1,0.45238095238095233,0,0.2222222222222222,0.2857142857142857,0.10526315789473684,0.0,0.1876180921328428,-0.2786670869410041,0.2830188679245283,0.25541512827398466,0.6772732217001862,0.0,1.0,0.1757218745396713,0.2857142857142857,4.359693353658007,0.0,0.46511627906976744,0.36363636363636365,0.39573718155683946
syn_stu_000004,syn_crs_00000,0.45586313005053103,0.058823529411764705,0.4,0.4074074074074074,0.0,0.9285714285714286,0.8211851735821326,0.0,0.6000000000000001,0.03971544121117025,1,0.5238095238095237,0,0.3333333333333333,0.42857142857142855,0.05263157894736842,0.5,0.26635615756580794,1.7380339927321964,0.37735849056603776,0.037330128400204915,0.8380160592478559,0.25,0.6666666666666666,0.26082537577017917,0.5,-0.6324557649161663,0.0,0.5434782608695652,0.5384615384615384,0.5367389415507758
syn_stu_000005,syn_crs_00000,0.5583009388780807,0.4117647058823529,0.6000000000000001,0.25925925925925924,0.0,0.5625,0.7092240109409714,0.0,0.6000000000000001,0.009943643541267436,1,0.5714285714285714,0,0.4074074074074074,0.2857142857142857,0.3684210526315789,0.0,0.2781106043671185,-0.20844340143863296,0.6792452830188679,0.06142941275384463,0.6886731956296138,0.0,1.0,0.11625819476080998,0.2857142857142857,-0.7606195131546434,0.0,0.8541666666666666,0.4444444444444444,0.3765856428948842
syn_stu_000006,syn_crs_00000,0.3733441604563434,0.058823529411764705,0.4,0.2962962962962963,0.0,0.9090909090909091,0.4825191058167505,0.0,0.4,0.09992681083936866,1,0.5714285714285714,0,0.2222222222222222,0.3214285714285714,0.05263157894736842,0.0,0.3361213132004572,1.4755874260894395,0.49056603773584906,0.26291832925717495,0.7338274306991329,0.0,1.0,0.24714249409174927,0.42857142857142855,2.5977520785748354,0.0,0.6458333333333334,0.6,0.5737140423691938
syn_stu_000007,syn_crs_00000,0.5188190435874872,0.11764705882352941,0.4,0.3333333333333333,0.3333333333333333,0.8461538461538461,0.9558557151836532,0.1111111111111111,0.6000000000000001,0.11756438158433735,1,0.47619047619047605,0,0.2962962962962963,0.14285714285714285,0.42105263157894735,0.0,0.22842064718031121,0.4531513807853223,0.33962264150943394,0.3276302033709714,0.4826972424128724,0.25,0.6666666666666666,0.3774156916412777,0.5,0.8789021276609542,0.0,0.5227272727272727,0.6363636363636364,0.4451740861155296
syn_stu_000008,syn_crs_00000,0.45596203139449065,0.1764705882352941,0.2,0.37037037037037035,0.6666666666666666,0.8,0.8180475490396759,0.6666666666666666,0.2,0.20965382236832006,1,0.6904761904761905,0,0.3703703703703704,0.35714285714285715,0.21052631578947367,0.0,0.1141463544045601,2.7056885024883663,0.13207547169811323,0.03518780327457961,0.3026210476715619,0.0,1.0,0.21374065208958862,0.14285714285714285,-0.2001031059638113,0.0,0.22641509433962265,0.16666666666666666,0.17117015587126105
syn_stu_000009,syn_crs_00000,0.39249841827630794,0.5294117647058824,0.2,0.25925925925925924,0.0,0.5,0.6510089323875592,0.0,0.2,0.023478760410153378,1,0.5476190476190477,0,0.48148148148148145,0.2857142857142857,0.47368421052631576,0.0,0.10975332945198459,1.0613017449456341,0.3584905660377359,0.2422526722630997,0.14257851718743705,0.0,1.0,0.03981864689355487,0.42857142857142855,-1.2123104467678292,0.0,0.5106382978723404,0.6666666666666666,0.09477328125675172
